argc= 3
1B = 3.1097296775e+02
2B = 2.2899660808e+03
3B = 4.6790711578e+01
Disp = -1.3548179077e+03
Buck = 0.0000000000e+00
Elec = -2.9307986349e+03
Total = -1.6378867824e+03

Energy=           -1637.8868
      1.81258893e+01      3.90984914e-01     -1.90071118e+00
      9.12165223e+00     -9.02881092e+00      6.57473167e-01
     -1.85766013e+01      5.61810111e+00      1.32762347e+01
      2.32731045e+00     -1.35372612e+01     -4.69194403e+00
     -1.03318285e+01      1.29974924e+01     -8.00441589e+00
      1.12456000e+01     -1.94897450e+00      1.22575111e+01
     -1.50438062e+01      6.80105136e+00      1.63618488e+01
      3.07103820e+01     -5.77349227e+00     -1.12195186e+01
     -1.37667427e+01     -5.41380565e+00     -7.44947811e-01
     -1.35583836e+01      1.05262370e+01     -3.83481285e+01
      8.84327388e+00     -7.48503883e+00      1.32480998e+01
      7.38080761e+00     -2.03132687e+00      2.39405178e+01
     -2.57522068e+01      3.54680253e+01     -9.89729409e+00
      1.66812425e+01     -2.32236596e+01      1.09525510e+01
      6.33194914e+00     -5.64028205e+00      2.85811943e+00
      1.70765431e+01      6.56496395e+00      1.04254211e+00
     -1.16301763e+01     -4.26844026e+00     -1.00523967e+00
      5.55427637e-02     -5.28151371e+00     -5.96399457e+00
     -1.25420939e+01      7.10548053e+01     -7.26438583e+00
      7.64067067e+00     -7.02074850e+01     -5.61867130e+00
      4.55983317e+00     -9.13103455e+00      1.01208833e+01
      6.09632978e+00     -1.86406021e+01      2.55924071e+00
     -3.86057526e+00      4.83813389e+00     -7.26930604e-01
     -3.46229048e+00      7.85562131e+00      1.48105260e+00
      7.36591269e+00      4.98114538e+00     -1.71415094e+01
     -1.96929841e+01     -8.86162722e+00      9.00940894e+00
      1.18296735e+01      2.72784275e+00      4.32770764e+00
      1.62115908e+01      8.66962824e+00     -5.94374116e+00
     -2.58340544e+01      2.10193213e+00      1.26458937e+01
      8.87900719e+00     -1.14093519e+00     -3.75300045e+00
      5.84216868e+00      2.40675847e+00      5.47554075e+01
     -8.98935622e+00      4.15738530e+01     -2.25039034e+01
     -6.10294769e+00     -4.08344491e+01     -4.20576383e+01
      1.50035510e+01     -3.09009005e+00      1.59689964e+01
     -9.59691761e+00     -6.25576203e+00      6.27056181e+00
     -5.45784663e+00      3.48478844e+00     -2.21522923e+01
      4.09965011e-03     -3.33156435e+00      3.69221363e+01
      1.30140633e+00     -1.14640203e+01     -7.19690612e+00
     -4.61701582e-01      3.65471038e-01     -2.06143480e+01
      9.97680438e+00     -1.03707058e+01     -1.14884731e+01
     -3.37939496e+00      6.58015665e+00     -1.23549039e+00
     -6.82547608e+00      1.56519002e+01      8.77468177e+00
     -3.94490750e+01     -4.74360430e+00      4.80677168e+00
      2.59343883e+01     -3.19922840e-01      2.09608424e+01
      1.52929266e+01      4.26553081e+00     -1.83047971e+01
     -3.82636447e+00      1.94957694e+01      1.74600780e+01
      2.31496328e+01     -1.49415315e+01     -1.74299651e+01
     -1.50649738e+01     -6.95397042e+00     -8.85796071e-01
     -4.01359002e+01      2.64456882e+01      2.84254179e+00
      3.14253350e+01     -2.57209593e+01      4.59114096e+00
      7.70108986e+00     -5.05332984e+00     -3.51264180e+00
      2.98684035e+00      2.61598375e+01     -4.63492344e+00
     -2.68800308e+00     -4.20073095e+01      1.01614159e+01
      6.42176857e+00      1.32745633e+01     -6.67970983e+00
     -1.10087769e+01     -1.95510456e+01      6.83887712e+01
      7.25742076e-01      4.67961654e+01     -4.88160408e+01
      1.98303958e+01     -1.96055074e+01     -2.28845358e+01
     -1.12233971e+01     -2.31645643e+01     -1.05609143e+01
      1.18091046e+01      3.25071125e+01      2.93775609e+00
      1.02249284e+00     -1.05548399e+01     -3.53808215e+00
      9.58992895e-01     -2.26212142e+00      1.13205662e+01
      6.13096748e+00     -4.97467515e-01     -5.44370509e+00
     -9.09967847e+00      1.26576208e+00     -9.92893747e+00
     -3.89952075e+00     -3.23494994e+00      2.68563787e+00
     -2.55778643e+00      1.49140947e-01     -1.42468492e+00
     -4.54942066e-01      4.00644555e+00      2.77758276e+00
      4.95946998e+01      1.54522039e+01     -1.79423300e+00
     -3.73494199e+01     -2.21131459e+01     -3.16880345e+01
     -1.43526365e+01      3.86008818e+00      3.00377028e+01
      6.72330225e-01     -3.20540352e+00     -6.51836136e+00
      3.54460465e+00      3.76905669e+00     -5.06904170e+00
     -9.61189805e+00     -2.06367891e+00      6.48726894e+00
      4.93881717e+00      1.34813997e+00      1.29559307e+01
     -1.64755936e+01     -2.98942183e+00     -5.16941135e+00
      5.58940235e+00     -5.30044153e+00     -2.12387831e+00
      6.71480341e+00      2.90191505e+01      1.64371671e+01
     -1.22748090e+01     -4.25061230e+01     -2.64722368e+01
      3.83110375e+00      1.78058740e+01      5.77883747e+00
     -5.23847773e+01     -1.96904669e+01     -2.89996193e+00
      5.53246890e+01      2.30439277e+01     -1.11818200e+00
      2.78665637e+00      3.14781145e+00      6.81753055e-01
      1.29681297e+01      5.28316420e+01     -2.73537255e+00
     -3.16164622e-01      4.54721601e+00     -5.54859182e+00
     -1.96484170e+01     -6.45809635e+01      1.16249657e+01
     -1.49673631e+01      1.29588983e+01     -2.66101215e+00
      1.57922057e+01     -9.79800998e+00     -2.46393062e-01
      6.14643532e+00     -4.34830165e+00      8.86764419e-01
     -3.48838175e+01      1.08507379e+01     -4.74593524e+00
      2.49601767e+01     -2.10524724e+01      1.22289574e+01
