cg:
Energy:    -0.1752819308
 DoF      Analytic         Numerical       Difference
  1x   -0.1332500215     -0.1332500191  -2.352403633e-09
  1y   -0.1654011024     -0.1654011012  -1.137458183e-09
  1z   -0.3099932483     -0.3099932482  -7.367867427e-11
  2x    0.0784667123     0.07846671153   7.741857433e-10
  2y    0.1224616531      0.1224616519   1.147651835e-09
  2z    0.2133226534      0.2133226517   1.740699529e-09
  3x    0.0405889405      0.0405889384   2.100092579e-09
  3y    0.0663994706     0.06639947102  -4.280144433e-10
  3z    0.1505060619      0.1505060633  -1.336617067e-09
  4x               0                 0                 0
  4y               0                 0                 0
  4z               0                 0                 0
  5x    0.1907814807      0.1907814825  -1.767770569e-09
  5y  -0.05065437763    -0.05065437863   9.976373685e-10
  5z   -0.2480084575     -0.2480084602   2.666410343e-09
  6x  -0.09735211551    -0.09735211557   5.896381994e-11
  6y  0.003089894517    0.003089892231   2.285690193e-09
  6z    0.1055600632       0.105560064  -7.402990304e-10
  7x  -0.07923571177    -0.07923571271   9.349620106e-10
  7y   0.02410649013     0.02410649242  -2.286251296e-09
  7z   0.08861193971     0.08861194165  -1.941781277e-09
  8x               0                 0                 0
  8y               0                 0                 0
  8z               0                 0                 0
iter:
Energy:    -0.1752819298
 DoF      Analytic         Numerical       Difference
  1x   -0.1332500232      -0.133250028   4.824933564e-09
  1y   -0.1654010991     -0.1654011035   4.342409043e-09
  1z   -0.3099932448     -0.3099932474   2.596416637e-09
  2x   0.07846671304     0.07846671443  -1.389895962e-09
  2y    0.1224616507       0.122461653  -2.271648383e-09
  2z    0.2133226509      0.2133226544  -3.455197212e-09
  3x   0.04058894185     0.04058894477  -2.922985846e-09
  3y   0.06639946942     0.06639947197  -2.549141356e-09
  3z    0.1505060603      0.1505060591   1.232272201e-09
  4x               0                 0                 0
  4y               0                 0                 0
  4z               0                 0                 0
  5x    0.1907814801       0.190781484  -3.866059944e-09
  5y  -0.05065437863    -0.05065437913   4.960311537e-10
  5z   -0.2480084558     -0.2480084654   9.574729648e-09
  6x  -0.09735211535    -0.09735211665   1.298813557e-09
  6y  0.003089895178    0.003089891554   3.624055713e-09
  6z    0.1055600624      0.1055600663  -3.901141299e-09
  7x  -0.07923571171    -0.07923571352   1.803228122e-09
  7y   0.02410649073     0.02410649379  -3.061176968e-09
  7z   0.08861193941     0.08861194514  -5.732070776e-09
  8x               0                 0                 0
  8y               0                 0                 0
  8z               0                 0                 0
===============================================================================
All tests passed (50 assertions in 1 test case)

PASS unittest-pme-withpolarization-findif (exit status: 0)
